WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 209-962-906
INFO:werkzeug: * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO:werkzeug: * Detected change in 'F:\\Repos\\Sheriff_Sale\\flask_app\\scrapers\\sheriff_sale.py', reloading
2020-03-17 15:30:25,444:INFO: * Restarting with stat
2020-03-17 15:30:32,852:WARNING: * Debugger is active!
2020-03-17 15:30:32,871:INFO: * Debugger PIN: 209-962-906
2020-03-17 15:30:32,875:INFO: * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2020-03-17 15:32:11,823:INFO:127.0.0.1 - - [17/Mar/2020 15:32:11] "POST /api/update_database HTTP/1.1" 405 -
2020-03-17 15:32:21,072:INFO:127.0.0.1 - - [17/Mar/2020 15:32:21] "POST /api/update_database HTTP/1.1" 405 -
2020-03-17 15:33:32,243:INFO: * Detected change in 'F:\\Repos\\Sheriff_Sale\\run_app.py', reloading
2020-03-17 15:33:32,300:INFO: * Restarting with stat
2020-03-17 15:34:23,841:INFO: * Restarting with stat
2020-03-17 15:34:50,930:WARNING: * Debugger is active!
2020-03-17 15:34:50,948:INFO: * Debugger PIN: 209-962-906
2020-03-17 15:34:50,953:INFO: * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2020-03-17 15:35:39,386:INFO:127.0.0.1 - - [17/Mar/2020 15:35:39] "GET /api/home HTTP/1.1" 200 -
2020-03-17 15:36:50,556:INFO: * Detected change in 'F:\\Repos\\Sheriff_Sale\\run_app.py', reloading
2020-03-17 15:36:50,609:INFO: * Restarting with stat
2020-03-17 15:36:57,486:INFO: * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2020-03-17 15:38:02,277:INFO: * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2020-03-17 15:38:51,572:INFO:127.0.0.1 - - [17/Mar/2020 15:38:51] "GET /api/home HTTP/1.1" 200 -
2020-03-17 15:38:52,438:INFO:127.0.0.1 - - [17/Mar/2020 15:38:52] "GET /api/home HTTP/1.1" 200 -
2020-03-17 15:38:54,002:INFO:127.0.0.1 - - [17/Mar/2020 15:38:54] "POST /api/update_database HTTP/1.1" 405 -
2020-03-17 15:59:01,404:ERROR:123 EAST 10TH AVENUE ROSELLE NJ 07203
2020-03-17 15:59:01,404:ERROR:316-318 JOHN STREET ELIZABETH NJ 07201
2020-03-17 15:59:01,404:ERROR:606 LEO STREET HILLSIDE NJ 07205
2020-03-17 15:59:01,404:ERROR:2405 PARK PLACE SCOTCH PLAINS NJ 07076
2020-03-17 15:59:01,404:ERROR:545 LEXINGTON AVENUE CRANFORD NJ 07016
2020-03-17 15:59:01,404:ERROR:1149 BURNET AVENUE UNION NJ 07083
2020-03-17 15:59:01,404:ERROR:981 TOWNLEY AVENUE UNION NJ
2020-03-17 15:59:01,404:ERROR:312 LIVINGSTON STREET WESTFIELD NJ 07090
2020-03-17 15:59:01,404:ERROR:32 EAST 17TH STREET LINDEN NJ 07036
2020-03-17 15:59:01,404:ERROR:518 MADISON AVENUE ELIZABETH NJ 07201
2020-03-17 15:59:01,405:ERROR:1487 STANLEY TERRACE HILLSIDE NJ 07205
2020-03-17 15:59:01,405:ERROR:626 BUCHANAN STREET HILLSIDE NJ 07205
2020-03-17 15:59:01,405:ERROR:105 HILLCREST TERRACE ROSELLE NJ 07203
2020-03-17 15:59:01,405:ERROR:325 GESNER STREET LINDEN NJ 07036-4011
2020-03-17 15:59:01,405:ERROR:147 W. WESTFIELD AVENUE ROSELLE PARK NJ 07204
2020-03-17 15:59:01,405:ERROR:1312-14 SOUTH END PARKWAY MAILING ADDRESS OF 1312 SOUTH END PARKWAY PLAINFIELD NJ 07060
2020-03-17 15:59:01,405:ERROR:1030 FIELD AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,405:ERROR:192-94 BERKELEY TERRACE WITH A MAILING ADDRESS OF 192 BERKELEY TERRACE PLAINFIELD NJ 07062
2020-03-17 15:59:01,405:ERROR:556 SOUTH PARK STREET ELIZABETH NJ 07206
2020-03-17 15:59:01,405:ERROR:301 HUSSA STREET LINDEN NJ 07036
2020-03-17 15:59:01,405:ERROR:480 ROBINS STREET ROSELLE NJ 07203
2020-03-17 15:59:01,405:ERROR:1217 BREWSTER COURT PLAINFIELD NJ 07060
2020-03-17 15:59:01,405:ERROR:42 ANDOVER AVENUE PLAINFIELD NJ 07062
2020-03-17 15:59:01,405:ERROR:614 COLONIAL AVENUE UNION NJ 07083
2020-03-17 15:59:01,405:ERROR:825 SHERMAN AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,405:ERROR:123 HICKORY ROAD UNION NJ 07083-6406
2020-03-17 15:59:01,405:ERROR:1833 MYRTLE AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,406:ERROR:530 WELLS STREET WESTFIELD NJ 07090
2020-03-17 15:59:01,406:ERROR:715 DEWITT STREET LINDEN NJ 07036
2020-03-17 15:59:01,406:ERROR:713 BERGEN AVENUE LINDEN NJ 07036
2020-03-17 15:59:01,406:ERROR:1249 WHEATSHEAF ROAD ROSELLE NJ 07203
2020-03-17 15:59:01,406:ERROR:712-714 JEFFERSON AVENUE MAILING ADDRESS 712 JEFFERSON AVENUE ELIZABEH NJ 07201
2020-03-17 15:59:01,406:ERROR:104 ORCHARD STREET SUMMIT NJ 07901
2020-03-17 15:59:01,406:ERROR:522-24 WADSWORTH AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,406:ERROR:1415 BOA PLACE HILLSIDE NJ 07205
2020-03-17 15:59:01,406:ERROR:25 MONMOUTH ROAD ELIZABETH NJ 07208
2020-03-17 15:59:01,406:ERROR:112 SWANSTROM PLACE EAST UNION NJ 07083-5073
2020-03-17 15:59:01,406:ERROR:452 BROADWAY ELIZABETH NJ 07206
2020-03-17 15:59:01,406:ERROR:34 ELMWOOD TERRACE LINDEN NJ 07036-3710
